id,Duplicate,Date,Av_Diameter_mm,Height_cm,Leaf_Area_cm2,Av_SLA _mg/cm2,Pres_Air_KPa,Trmmol_mmolm_2s_1,Resistwp_Pasm2umol_1,CO2i_Pred_Pa,LeafTemp_oC,Resistwp25_Pasm2umol_1,thetafactor,corrphi,corrAnnet,Anet_Pred_umolm_2s_1,Anet_Obs_umolm_2s_1,PARi_umolm_2s_1,StomatalCond_H2O_molm_2s_1,Pres_O2_KPa,CO2S_Pa,Pres_H2O_KPa,PhiPSII_obs,PhiPSII_pred,ChamberAirTemp_oC,PARi,Resistch_Pasm2umol_1,SumSquare_NA,gamma_Pa,Jmax25,CurveID_NA,TempLeaf,betaPSII_NA,CO2c_Pa,VPDL_KPa,CO2i_obs_Pa,ChlFlPHIPSII_Obs_NA,gamma25_Pa,Rdlight_umolm_2s_1,SumSquare,Rdlight25_umolm_2s_1,phifactor,Resistch25_Pasm2umol_1
besc-13.csv,Unique,8/15/2014,12.715,182,58.3,3.051948052,98.94,0.57,2.84,29.11,26.28,3.09,1.17,0.97,0.97,3.7,3.66,349.97,0.06,20.73,39.48,2.42,0.24,0.24,25.53,299.43,3.62,1.38,0,18.73,NAxxxx,26.1,0.37,0,0.95,29.11,0.21,0,1.2,4.26,1.1,0.74,3.95
besc-133.csv,Unique,8/8/2014,10.155,181,34.31,2.489177489,99.13,0.25,0,22.83,25.79,0,0.9,0.99,0.98,3.93,3.82,349.75,0.04,20.77,39.63,2.65,0.54,0.54,25.42,74.86,0,0.99,0,23.92,NAxxxx,25.35,0.38,22.83,0.61,22.83,0.2,0,1.54,0,1.46,0.89,0
besc-134.csv,Unique,8/21/2014,15.27,289,44.89,7.229437229,99.42,1.17,14.87,36.94,27.29,17.31,0.95,1,0.99,1.73,1.21,349.06,0.1,20.83,39.62,2.43,0.47,0.47,26.19,298.51,0,1.93,0,31.13,NAxxxx,27.22,0.25,11.29,1.15,36.94,0.43,0,6.11,2.04,5.29,0.97,0
Besc-135.csv,Unique,7/2/2014,10.8,193,117.09,5.064935065,98.66,0.85,1,24.92,27.24,1.16,0.83,1,0.99,6.39,6.85,400.65,0.08,20.67,39.49,2.51,0.68,0.68,25.78,249.75,0,2,1.35,67.67,NAxxxx,26.72,0.2,18.54,1.05,24.92,0.62,1.25,2.13,0.03,1.86,1.1,0
besc-14.csv,Unique,8/20/2014,9.05,211,36.88,3.506493506,98.93,0.4,13.79,28.97,26.18,14.92,0.33,1,0.96,2.08,2.03,349.43,0.03,20.73,39.43,2.19,0.48,0.48,25.59,49.46,0,0.66,0,25.1,NAxxxx,25.61,0.34,0,1.17,28.97,0.15,0,1.06,0,0.98,0.87,0
Besc-141.csv,Unique,7/2/2014,8.115,185,48.86,2.727272727,98.76,0.86,1.21,25.92,27.33,1.41,0.85,0.99,0.99,6.2,6.04,399.96,0.07,20.69,39.49,2.47,0.54,0.54,26.15,251.17,0,0.77,1.04,41.79,NAxxxx,27.17,0.18,18.42,1.12,25.92,0.49,0.96,0,0.12,0,0.87,0
besc-144.csv,Unique,8/5/2014,7.325,189,57.24,2.467532468,99.11,0.22,0,22.87,27.91,0,0.78,1,0.96,2.26,2.2,350.95,0.02,20.76,39.68,2.65,0.44,0.44,25.99,73.48,0,0.56,0,9.28,NAxxxx,27.2,0.19,22.87,1.05,22.87,0.18,0,0.1,0,0.08,0.78,0
besc-145.csv,Unique,8/18/2014,9.53,237.5,36.94,5,98.37,1.12,2.34,28.24,26.25,2.54,0.91,0.99,1,9.35,9.13,349.84,0.14,20.61,39.4,2.56,0.54,0.54,25.73,250.12,0,0.63,0.22,58.41,NAxxxx,26.05,0.33,6.37,0.8,28.24,0.48,0.21,1.09,2.6,1.01,0.93,0
besc-148.csv,Unique,8/15/2014,17.035,316,46.92,9.512987013,98.84,-0.06,0,20.51,27.38,0,0.1,1,0.93,2.07,2.09,302.07,-0.01,20.71,39.51,2.76,0.72,0.72,25.73,48.88,0,2.15,0,50.62,NAxxxx,26.42,0.1,20.51,0.82,20.51,0.47,0,1.06,0,0.92,1.09,0
Besc-149.csv,Unique,6/24/2014,10.58,198,106.88,3.831168831,98.84,1.54,1.67,23.57,27.15,1.92,0.96,0.99,1,10.91,10.63,498.65,0.12,20.71,38.92,2.27,0.6,0.61,25.74,348.46,0,1.13,0.42,76.79,NAxxxx,26.55,0.32,5.54,1.29,23.57,0.53,0.39,2.96,16.19,2.59,1,0
besc-158.csv,Unique,8/19/2014,13.395,278,40.27,5.649350649,98.81,1.53,1.07,33.76,26.11,1.15,0.9,1,1,6.73,6.62,298.85,0.2,20.7,39.56,2.6,0.6,0.6,25.83,249.49,0,2.73,1.81,74.78,NAxxxx,25.97,0.36,26.59,0.78,33.76,0.57,1.75,4.13,1.01,3.85,1.02,0
besc-159.csv,Unique,8/14/2014,8.395,222.5,32.59,3.506493506,99.2,0.95,0,31.67,27.26,0,0.7,1,0.99,4.02,4.02,348.93,0.09,20.78,39.71,2.51,0.61,0.61,26.14,74.48,5.46,0.88,0,29.56,NAxxxx,26.82,0.28,2.34,1.06,31.67,0.3,0,1.49,0,1.29,1,6.34
besc-161.csv,Unique,8/5/2014,5.78,134,74.03,5.064935065,99.08,1.77,1.17,27.62,25.93,1.25,0.87,1,1,12.24,11.81,350.89,0.17,20.76,39.66,2.27,0.6,0.6,25.68,300.66,0,2.13,1.5,115.88,NAxxxx,25.81,0.46,13.27,1.04,27.62,0.57,1.45,1.53,7.39,1.44,1.05,0
besc-169.csv,Unique,8/22/2014,15.455,293,46.28,6.428571429,99.27,0.67,0,25.05,26.36,0,0.82,1,0.99,5.7,5.45,350.32,0.06,20.8,39.43,2.32,0.68,0.68,25.71,75.03,0,1.15,0,36.75,NAxxxx,25.75,0.24,25.05,1.07,25.05,0.4,0,1.36,0,1.25,1.06,0
besc-170.csv,Unique,8/19/2014,11.875,194,42.3,6.774891775,98.54,0.72,1.27,21.2,27.33,1.48,0.89,0.99,0.99,8.53,8.37,350.9,0.08,20.64,39.43,2.65,0.64,0.65,25.89,151.18,0,1.28,1.35,62.3,NAxxxx,26.84,0.36,10.39,0.93,21.2,0.51,1.25,0.72,0.04,0.62,1.02,0
besc-171.csv,Unique,8/8/2014,11.315,170.5,56.69,3.883116883,99.01,0.64,3.2,30.02,26.03,3.42,0.82,0.99,0.99,5.53,5.28,348.15,0.09,20.74,39.59,2.63,0.57,0.57,25.46,100.61,0,0.97,0.68,33.01,NAxxxx,25.68,0.27,12.28,0.68,30.02,0.35,0.66,0.38,0.01,0.36,0.92,0
Besc-173.csv,Unique,7/2/2014,11.1,274.5,44.98,5.454545455,98.63,1.24,0.95,25.21,26.31,1.04,0.78,1,1,8.04,7.83,401.68,0.09,20.66,39.48,2.09,0.64,0.64,25.58,350.64,0,0.64,2.5,93.83,NAxxxx,26.14,0.25,17.56,1.3,25.21,0.61,2.39,0.55,0.15,0.5,1.11,0
besc-181.csv,Unique,8/21/2014,9.215,201,63.12,7.034632035,99.38,2.49,5.29,35.4,25.8,5.58,0.96,1,0.99,6.12,5.74,350.63,0.27,20.82,39.43,2.36,0.5,0.51,25.81,249.77,0,2.53,0,43.58,NAxxxx,25.64,0.34,3.82,0.92,35.4,0.41,0,3.84,1.16,3.66,0.95,0
besc-183.csv,Sametree_Dup,8/14/2014,12.675,265.5,32.84,3.181818182,98.99,0.47,13.38,31.04,28.11,16.43,,n/a,0.93,2.03,1.89,350.99,0.04,20.74,39.65,2.63,,,26.02,,0,0.86,0.27,,NAxxxx,,0.26,4.47,1.12,31.04,0.18,0.24,0.53,,0.44,,0
besc-183.csv,Unique,8/14/2014,12.675,265.5,55.79,3.463203463,99.19,1.46,4.14,30.91,27.84,5,0.96,0.99,1,7.04,6.63,350.83,0.13,20.78,39.74,2.6,0.53,0.54,26.43,199.26,0,1.07,0.01,34.14,NAxxxx,27.34,0.31,2.66,1.09,30.91,0.4,0.01,1.81,0.33,1.52,0.89,0
besc-184.csv,Unique,8/13/2014,13.51,289,72.29,8.392857143,98.95,1.17,0.59,25.06,26.7,0.66,0.83,1,1,8.78,8.52,350.59,0.1,20.73,39.63,2.3,0.68,0.67,25.74,202.25,0,2.06,2.47,89.15,NAxxxx,26.11,0.35,19.92,1.17,25.06,0.59,2.33,1.86,0.25,1.67,1.1,0
besc-19.csv,Unique,8/15/2014,16.495,277.5,92,9.172077922,99,0.28,0.53,25.66,26.71,0.59,,n/a,0.73,3.23,3.15,298.34,0.03,20.74,39.5,2.66,,,25.79,,0,9.34,0.01,,NAxxxx,,0.12,23.86,0.78,25.66,0.43,0.01,0,,0,,0
besc-191.csv,Unique,8/15/2014,12.99,254,65.47,4.902597403,99.13,0.88,3.38,27.09,27.38,3.96,0.85,1,1,7.89,7.86,349.38,0.11,20.77,39.23,2.78,0.68,0.68,25.99,74.87,0,0.38,0,50.56,NAxxxx,26.63,0.35,0.44,0.81,27.09,0.42,0,2.02,0,1.74,1.04,0
besc-2.csv,Unique,8/14/2014,15.37,330.5,60.78,9.372294372,98.96,1.58,1.68,30.5,27.13,1.94,1.12,0.9,1,7.2,7.16,349.62,0.14,20.73,39.6,2.42,0.58,0.55,26.15,301.23,0,1.32,0.59,57.3,NAxxxx,27.02,0.34,18.39,1.13,30.5,0.55,0.55,5.36,40.2,4.7,0.8,0
Besc-202.csv,Unique,7/2/2014,5.135,63,15.3,0.909090909,98.64,0.69,0,32.23,26.94,0,0.78,1,0.77,2.38,2.24,400.19,0.05,20.66,39.51,2.33,0.35,0.35,25.66,150.08,0,1.12,0,9.87,NAxxxx,26.42,0.18,32.23,1.18,32.23,0.16,0,0,0,0,0.81,0
besc-204.csv,Unique,8/12/2014,13.935,235,39.19,3.733766234,98.35,1.62,1.82,29.34,25.34,1.87,0.94,0.99,1,8.71,8.56,348.67,0.15,20.6,38.92,2.17,0.53,0.54,25.29,298.88,0,0.32,1.83,70.3,NAxxxx,25.29,0.38,13.34,1.04,29.34,0.5,1.81,0.67,8.45,0.66,0.96,0
Besc-205.csv,Unique,7/8/2014,9.58,190.5,125.5,2.402597403,98.55,0.9,2.45,22.73,28.09,3.01,0.86,1,0.96,5.82,5.61,400.72,0.06,20.65,39.09,2.28,0.54,0.54,25.91,150.8,0,1.79,1.44,39.73,NAxxxx,27.59,0.32,7.9,1.49,22.73,0.36,1.31,0,0.03,0,0.9,0
besc-208.csv,Unique,8/12/2014,13.04,221,59.96,4.766233766,98.44,1.03,0.94,28.59,26.91,1.07,0.89,1,1,8.91,8.72,351.73,0.12,20.62,38.95,2.75,0.6,0.6,25.74,250.1,0,1.23,2.24,68.69,NAxxxx,26.65,0.32,20.19,0.74,28.59,0.54,2.11,0.48,0.96,0.43,1.01,0
besc-209.csv,Unique,8/20/2014,6.17,162.5,37.62,3.409090909,98.77,1.12,9.69,33.58,25.95,10.32,0.62,1,0.96,3.46,3.07,348.58,0.1,20.69,39.29,2.2,0.61,0.61,25.45,49.32,0,1.66,0,26.51,NAxxxx,25.09,0.3,0,1.12,33.58,0.23,0,0.92,0,0.87,1.03,0
besc-214.csv,Unique,8/20/2014,13.9,270.5,23.43,5.974025974,98.81,1.06,2.77,28.53,25.3,2.82,0.23,0.99,0.99,6.44,6.03,349.27,0.1,20.7,39.16,2.13,0.62,0.62,25.2,75.36,0,1.72,0.34,77.87,NAxxxx,24.91,0.25,10.73,1.07,28.53,0.39,0.34,0.21,0,0.21,1.01,0
besc-215.csv,Unique,8/6/2014,11.87,156,85.51,4.87012987,99.04,1.33,1.06,29.63,26.67,1.19,0.8,1,1,9.67,9.53,351.19,0.16,20.75,39.69,2.63,0.62,0.62,25.94,199.23,0,0.68,1.84,97.92,NAxxxx,26.47,0.4,19.37,0.81,29.63,0.54,1.74,2.43,0.13,2.19,1.02,0
besc-220.csv,Unique,8/1/2014,10.58,242.5,99.48,3.701298701,98.97,1.19,2.45,30.52,27.32,2.86,0.9,1,1,5.83,5.44,350.32,0.1,20.73,39.62,2.46,0.59,0.59,25.9,201.46,0,0.76,2.35,55.56,NAxxxx,26.99,0.38,16.24,1.12,30.52,0.46,2.17,2.66,0.03,2.3,1.01,0
besc-227.csv,Unique,8/8/2014,10.395,233.5,95.36,4.025974026,98.97,1.16,1.63,29.05,25.51,1.69,0.89,1,1,8.86,8.76,398.77,0.15,20.73,39.62,2.44,0.63,0.63,25.3,249.53,0,0.32,0.64,67.98,NAxxxx,25.32,0.29,15.86,0.77,29.05,0.53,0.63,1.47,0.05,1.43,1.07,0
Besc-228.csv,Unique,6/24/2014,7.675,168.5,84.91,3.636363636,98.69,1.78,1.71,25.57,25.4,1.76,0.79,1,1,12.29,12.25,501.78,0.16,20.67,38.85,2.09,0.61,0.61,25.23,201.61,0,2.24,0.29,91.66,NAxxxx,24.76,0.36,4.96,1.12,25.57,0.45,0.29,1.27,0.02,1.24,1.02,0
besc-229.csv,Unique,8/14/2014,13.875,270,156.69,9.924242424,98.8,2.94,1.05,32.99,26.55,1.16,0.89,0.99,1,9.82,9.64,350.54,0.26,20.7,39.55,2.33,0.64,0.64,25.9,251.9,0,0.67,3.48,118.48,NAxxxx,26.31,0.44,22.71,1.1,32.99,0.59,3.3,2.71,3.49,2.46,1.03,0
besc-230.csv,Unique,8/13/2014,10.47,274.5,65.65,5.925324675,98.8,0.94,2.37,27.78,25.39,2.43,0.81,1,0.99,7.71,7.42,348.06,0.11,20.7,39.59,2.37,0.59,0.59,25.33,149.89,0,1.02,0.98,52.93,NAxxxx,25.18,0.36,9.55,0.83,27.78,0.41,0.96,0.21,0.02,0.2,1.03,0
besc-231.csv,Unique,8/12/2014,6.52,157.5,34.9,2.548701299,98.4,0.37,0.9,20.8,27.26,1.05,0.79,1,0.99,4.59,4.33,350.03,0.04,20.61,39.09,2.82,0.62,0.62,25.93,74.41,0,0.67,1.46,31.9,NAxxxx,26.51,0.29,16.56,0.72,20.8,0.34,1.36,0.84,0,0.73,0.99,0
Besc-239.csv,Unique,7/9/2014,8.63,164,43.72,2.662337662,98.93,0.53,2.02,15.75,27,2.31,,n/a,0.98,5.82,5.83,398.2,0.04,20.72,39.21,2.23,,,25.74,,0,1.9,0.28,,NAxxxx,,0.31,6.01,1.3,15.75,0.28,0.26,0,,0,,0
besc-24.csv,Unique,8/1/2014,7.575,128,87.2,4.805194805,99.02,0.59,0,24.64,26.84,0,0.71,1,0.84,4.6,4.1,351.32,0.05,20.74,39.6,2.46,0.69,0.69,25.72,48.75,0,8.09,0,25.12,NAxxxx,26.38,0.19,24.64,1.03,24.64,0.33,0,0,0,0,1.06,0
Besc-243.csv,Unique,7/8/2014,8.425,187,86.72,3.246753247,98.69,2.34,0.55,29.08,26.94,0.63,0.86,1,1,13.06,12.9,400.75,0.23,20.68,38.75,2.5,0.54,0.54,26.03,350.69,0,1.03,2.39,111.54,NAxxxx,26.8,0.46,21.89,1,29.08,0.51,2.25,1.77,3.76,1.57,0.98,0
besc-245.csv,Unique,8/12/2014,11.79,254.5,121.61,6.484230056,98.36,1.68,1.67,30.83,26.01,1.79,0.87,1,1,12.08,12.11,348.78,0.26,20.61,38.69,2.67,0.66,0.66,25.72,200.41,0,1.31,0.18,94.01,NAxxxx,25.7,0.38,10.66,0.63,30.83,0.58,0.18,3.13,0.07,2.94,1.06,0
Besc-247.csv,Unique,7/8/2014,5.695,16.9,57.78,1.883116883,98.54,0.76,0,26.5,26.85,0,0.57,1,0.97,4.01,3.79,397.9,0.05,20.64,39.19,2.06,0.56,0.56,25.49,101.99,0,0.92,0,24.45,NAxxxx,25.4,0.15,26.5,1.45,26.5,0.31,0,0,0,0,0.95,0
besc-25.csv,Unique,8/13/2014,16.39,286,61.86,8.733766234,98.86,1.12,0.99,24.15,25.66,1.03,0.9,1,1,7.8,7.62,350.22,0.08,20.71,39.59,1.94,0.62,0.62,25.37,248.54,0,1.1,2.93,96.91,NAxxxx,25.33,0.42,16.44,1.32,24.15,0.56,2.87,2.69,0.5,2.58,1.05,0
besc-250.csv,Unique,8/12/2014,9.695,236,40,3.165584416,98.32,1.35,0,29.2,26.25,0,0.96,1,1,9.64,9.36,348.62,0.16,20.6,38.85,2.55,0.53,0.54,25.75,298.23,2,0.74,0,54.76,NAxxxx,26.16,0.34,4.5,0.8,29.2,0.5,0,2.71,9.88,2.5,0.97,2.18
besc-259.csv,Unique,8/20/2014,9.595,220,102.13,6.168831169,98.98,0.86,3.76,27.75,26.17,4.06,0.95,0.99,0.99,6.66,6.42,349.66,0.09,20.74,39.24,2.45,0.44,0.45,25.67,250.06,0,1.8,0,34.6,NAxxxx,25.99,0.32,3.13,0.9,27.75,0.36,0,1.68,1,1.56,0.88,0
besc-26.csv,Unique,8/19/2014,15.87,305,54.6,8.398268398,98.52,0.82,1.47,24.83,26.83,1.66,0.1,1,0.99,8.25,7.67,351.67,0.08,20.64,39.44,2.56,0.72,0.72,25.79,49.11,0,1.69,1.1,172.18,NAxxxx,26.39,0.29,12.72,0.92,24.83,0.51,1.04,0.35,0,0.31,1.09,0
besc-264.csv,Unique,8/5/2014,10.53,230.5,149.26,3.831168831,99.15,0.36,0,26.46,26.94,0,0.94,1,0.97,2.6,2.55,349.3,0.03,20.77,39.64,2.44,0.54,0.54,25.84,73.97,0,0.63,0,12.5,NAxxxx,26.29,0.27,26.46,1.06,26.46,0.17,0,0.49,0,0.43,0.95,0
besc-265.csv,Unique,8/15/2014,11.65,160,67.48,5.108225108,99.08,0.47,0.2,19.07,27.87,0.24,0.98,0.99,1,5.94,5.67,348.95,0.05,20.76,39.26,2.69,0.44,0.44,25.98,298.45,2.12,0.53,0,29.57,NAxxxx,27.68,0.28,1.01,1,19.07,0.4,0,1.91,6.35,1.6,0.89,2.57
besc-268.csv,Unique,8/5/2014,10.79,157,46.14,3.246753247,98.82,1.73,2.39,31.28,25.92,2.54,0.93,1,1,7.04,6.75,350.05,0.14,20.7,39.59,2.13,0.49,0.49,25.54,298.01,0,0.84,1.87,52.22,NAxxxx,25.79,0.35,14.45,1.19,31.28,0.44,1.82,0.91,1.69,0.86,0.95,0
besc-269.csv,Unique,8/12/2014,12.065,257,87.58,5.735930736,98.54,1.25,1.8,29.25,25.93,1.91,0.97,1,0.98,10.58,10.19,348.98,0.18,20.64,38.89,2.61,0.57,0.58,25.66,298.48,0,8.45,0.13,57.99,NAxxxx,25.89,0.33,9.56,0.69,29.25,0.53,0.13,1.75,4.64,1.66,1,0
besc-271.csv,Unique,8/18/2014,10.915,249,51.88,5.952380952,98.51,0.51,0.9,20.89,26.01,0.96,0.84,1,1,8.76,8.58,350.35,0.07,20.64,39.43,2.64,0.61,0.61,25.41,198.81,0,1.56,0.9,67.48,NAxxxx,25.76,0.34,13.04,0.66,20.89,0.5,0.87,1.54,0.09,1.45,1.04,0
besc-272.csv,Unique,8/5/2014,12.365,264,87.22,5.064935065,98.89,1.25,3.17,30.69,26.05,3.4,0.17,1,0.99,5.39,5.04,350.34,0.1,20.72,39.59,2.11,0.68,0.68,25.51,74.7,0,1.9,1.16,139.48,NAxxxx,25.48,0.3,13.63,1.23,30.69,0.5,1.12,3.29,0,3.08,1.06,0
besc-273.csv,Unique,8/18/2014,11.35,257,33.36,3.441558442,98.37,0.68,8.86,32.01,25.28,9.02,0.83,1,0.98,3.12,3.14,350.42,0.07,20.61,39.35,2.27,0.64,0.64,25.34,49.48,1.01,0.52,0,21.52,NAxxxx,24.95,0.29,0,0.91,32.01,0.22,0,0.92,0,0.9,1.03,1.03
Besc-275.csv,Unique,7/31/2014,9.865,182.5,127.39,4.675324675,99.17,1.33,0.78,30.52,26.15,0.84,0.79,1,1,8.84,8.8,351.62,0.16,20.78,39.7,2.54,0.6,0.6,25.62,302.31,0,0.44,2.18,111.43,NAxxxx,26.03,0.38,23.64,0.8,30.52,0.57,2.1,3.53,0.84,3.29,1.05,0
besc-276.csv,Unique,8/21/2014,15.365,290.5,53.13,7.857142857,99.4,1.4,1.34,25.7,26.69,1.5,0.94,0.99,1,10.08,9.92,348.61,0.12,20.83,39.15,2.35,0.61,0.62,25.98,298.15,0,1.12,0.54,76.27,NAxxxx,26.61,0.33,12.2,1.11,25.7,0.58,0.51,2.35,11.28,2.11,1.01,0
besc-279.csv,Unique,8/19/2014,13.16,252.5,41.98,8.982683983,98.49,0.54,0,20.39,27.44,0,0.96,1,0.98,6.89,6.7,349.11,0.06,20.63,39.38,2.69,0.66,0.66,25.88,149.43,0,3.75,0,27.04,NAxxxx,26.68,0.2,20.39,0.91,20.39,0.48,0,0,0.11,0,1.04,0
besc-28.csv,Unique,8/18/2014,9.6,225,53.54,3.744588745,98.33,0.65,4.13,26.56,26.44,4.55,0.78,0.99,1,5.38,5.29,350.06,0.07,20.6,39.39,2.48,0.43,0.44,25.72,150.87,0,0.36,0.01,27.45,NAxxxx,25.91,0.33,5.01,0.91,26.56,0.26,0.01,0.76,0.08,0.69,0.87,0
Besc-286.csv,Unique,7/8/2014,9.23,155.5,103.01,2.272727273,98.61,1.73,2.32,28.91,27.7,2.78,0.91,1,0.99,7.64,7.41,400.88,0.12,20.66,39.08,2.34,0.39,0.39,25.93,349.86,0,0.65,0.59,36.14,NAxxxx,27.56,0.29,11.16,1.34,28.91,0.36,0.54,0,1.56,0,0.83,0
besc-291.csv,Unique,8/13/2014,13.1,244,51.4,6.63961039,98.91,1.49,1.2,29.63,26.28,1.31,0.82,1,1,8.54,8.43,350.7,0.14,20.72,39.57,2.36,0.63,0.63,25.62,202.23,0,0.67,3.91,111.1,NAxxxx,25.95,0.5,19.36,1.01,29.63,0.53,3.75,2.57,0.07,2.37,1.06,0
besc-294.csv,Unique,8/18/2014,12.675,294.5,51.54,8.787878788,98.6,0.41,1.35,17.64,25.44,1.39,0.32,1,0.99,8.81,8.78,348.96,0.07,20.66,39.48,2.62,0.69,0.69,25.2,75.28,0,2.29,0.39,159.08,NAxxxx,25.01,0.34,5.62,0.58,17.64,0.52,0.38,1.92,0,1.87,1.07,0
besc-297.csv,Unique,8/8/2014,7.715,144,50.07,2.207792208,98.84,0.22,10.16,24.24,27.09,11.67,0.92,1,0.98,2.32,2.35,348.21,0.03,20.71,39.51,2.81,0.46,0.46,25.88,74.39,0,0.37,0,16.86,NAxxxx,26.22,0.36,1.03,0.71,24.24,0.16,0,1.25,0,1.1,0.76,0
besc-30.csv,Unique,8/12/2014,14.745,246,53.38,4.707792208,98.38,0.45,0.74,19.38,27.18,0.85,0.89,1,1,5.51,5.49,352.01,0.05,20.61,39.08,2.58,0.68,0.68,25.8,198.02,0,0.58,3.22,75.19,NAxxxx,26.91,0.36,15.33,0.96,19.38,0.57,3,2.96,0.34,2.58,1.09,0
besc-301.csv,Unique,8/5/2014,14.27,273,26.95,2.272727273,98.92,2.2,7.79,36.02,25.76,8.2,0.97,0.99,0.98,4.18,3.88,348.33,0.21,20.72,39.59,2.26,0.36,0.36,25.62,248.84,0,0.95,0.26,22.3,NAxxxx,25.48,0.28,4.49,1.02,36.02,0.28,0.25,0.43,1.76,0.41,0.88,0
besc-304.csv,Unique,8/13/2014,6.14,103.5,17.14,3.441558442,98.81,0.56,0,30.72,25.53,0,0.65,1,0.97,3.67,3.34,349.66,0.07,20.7,39.54,2.42,0.46,0.46,25.3,75.42,0,1.48,0,22.22,NAxxxx,25.21,0.26,30.72,0.8,30.72,0.22,0,0.55,0,0.53,0.81,0
